code,system
14A5.00,readv2
G33..00,readv2
G331.11,readv2
G33z.00,readv2
G33zz00,readv2
Gyu3000,readv2
4139,oxmis
4139PC,oxmis
14AJ.00,readv2
G311.11,readv2
G311.14,readv2
G311200,readv2
G311300,readv2
G311400,readv2
G330000,readv2
G331.00,readv2
G33z200,readv2
G33z300,readv2
G33z600,readv2
4119P,oxmis
4129RE,oxmis
4139AA,oxmis
4139AT,oxmis
4139C,oxmis
4139CO,oxmis
4139N,oxmis
4139PA,oxmis
4139PB,oxmis
4139U,oxmis
G311.00,readv2
G311.12,readv2
G311z00,readv2
G311.13,readv2
G311100,readv2
G33z700,readv2
G311500,readv2
G312.00,readv2
G31y000,readv2
G31y200,readv2
G31y300,readv2
G330.00,readv2
G330z00,readv2
G332.00,readv2
g332.00,readv2
G33z000,readv2
G33z100,readv2
G34y000,readv2
G34y100,readv2
4130,oxmis
4130E,oxmis
4139E,oxmis
4139M,oxmis
